(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS),(L*min^-1),(L),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(integer),(-),(-),(-),(g*min^-1*x^sec^-1),(L*min^-1*x^sec^-1),(integer),(integer),(integer),(V),(bool),(bool),(bool),(bool),(bool)
SampleTime,UnixTime,UTCDateTime,VolFlow,SampledVolume,PumpT,PCBT,FdpT,PumpP,PCBP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,GPSlat,GPSlon,GPSalt,GPSsat,gpsspeed,gpsquality,GPSpdop,GPShdop,GPSvdop,MFlowDelta,VFlowDelta,MFSADS,VInADS,PumpADS,MFSVolt,PumpsON,Dead,BCS1,BCS2,BC_NPG
0:00:15,1591122636,2020-06-02T18:30:38,1.004,0.25,28.08,28.45,29.43,846.60,846.73,104.883331,26.92,0.9748,554,0,9.383,0.97856,2.88,32834,40.542085,-105.098213,1549.2,6,0.156770,1,14.2,9.3,10.7,0.004,0.004,10511,5874,8557,1.314,1,0,0,1,0
0:00:16,1591122637,2020-06-02T18:30:39,1.001,0.27,28.08,28.45,29.39,846.66,846.73,103.616669,26.91,0.9748,554,0,9.385,0.97570,2.88,32834,40.542082,-105.098211,1548.8,7,0.112052,1,14.2,9.3,10.7,0.001,0.001,10496,5874,8559,1.312,1,0,0,1,0
0:00:17,1591122638,2020-06-02T18:30:41,0.996,0.28,28.08,28.46,29.42,846.60,846.73,102.566666,26.88,0.9748,554,0,9.384,0.97056,2.88,32834,40.542079,-105.098208,1548.1,7,0.061680,1,14.1,9.3,10.7,-0.004,-0.004,10469,5874,8558,1.309,1,0,0,1,0
0:00:18,1591122639,2020-06-02T18:30:42,1.006,0.30,28.08,28.46,29.42,846.55,846.78,104.816666,26.85,0.9748,555,0,9.385,0.98047,2.88,32834,40.542078,-105.098211,1547.6,7,0.109482,1,14.1,9.3,10.7,0.006,0.006,10521,5874,8559,1.315,1,0,0,1,0
0:00:19,1591122640,2020-06-02T18:30:43,0.997,0.32,28.08,28.45,29.41,846.66,846.73,103.416664,26.82,0.9748,555,0,9.376,0.97227,2.88,32834,40.542079,-105.098214,1547.3,7,0.371108,1,14.1,9.2,10.7,-0.003,-0.003,10478,5874,8551,1.310,1,0,0,1,0
0:00:20,1591122641,2020-06-02T18:30:44,1.004,0.33,28.09,28.44,29.43,846.55,846.80,102.566666,26.82,0.9748,555,0,9.378,0.97875,2.88,32834,40.542075,-105.098215,1546.9,7,0.336156,1,14.1,9.2,10.6,0.004,0.004,10512,5874,8553,1.314,1,0,0,1,0
0:00:21,1591122642,2020-06-02T18:30:45,1.002,0.35,28.10,28.46,29.46,846.63,846.78,103.533333,26.79,0.9748,555,0,9.377,0.97703,2.88,32834,40.542075,-105.098216,1546.5,7,0.219992,1,14.1,9.2,10.6,0.002,0.002,10503,5874,8552,1.313,1,0,0,1,0
0:00:22,1591122643,2020-06-02T18:30:46,0.997,0.37,28.10,28.46,29.44,846.57,846.75,102.650002,26.75,0.9747,555,0,9.377,0.97208,2.88,32834,40.542070,-105.098213,1546.4,7,0.200974,1,14.1,9.2,10.6,-0.003,-0.003,10477,5874,8552,1.310,1,0,0,1,0
0:00:23,1591122644,2020-06-02T18:30:48,1.002,0.38,28.11,28.46,29.47,846.62,846.83,104.516670,26.75,0.9748,555,0,9.377,0.97646,2.88,32834,40.542065,-105.098209,1546.3,7,0.321764,1,14.0,9.2,10.6,0.002,0.002,10500,5874,8552,1.313,1,0,0,1,0
0:00:24,1591122645,2020-06-02T18:30:49,1.000,0.40,28.11,28.45,29.50,846.62,846.87,104.000000,26.74,0.9748,555,0,9.377,0.97474,2.88,32834,40.542060,-105.098205,1546.0,7,0.307886,1,14.0,9.2,10.6,-0.000,-0.000,10491,5874,8552,1.311,1,0,0,1,0
